Address,Status,Price,Bed,Bath,Size
"1380 N Citrus Ave Trlr D5, Covina, CA 91722",For Sale,"$60,000",2bed,1bath,800sqft
"21310 E Covina Blvd Trlr 3, Covina, CA 91724",For Sale,"$142,000",1bed,1bath,No Info
"20260 E Arrow Hwy Apt C, Covina, CA 91724",Contingent,"$450,000",3bed,3bath,"1,477sqft"
"740 E San Bernardino Rd Apt 8, Covina, CA 91723",Pending,"$415,000",2bed,2bath,"1,086sqft"
"20430 E Covina Hills Rd, Covina, CA 91724",For Sale,"$1,699,888",4bed,4bath,"4,439sqft"
"545 S Forestdale Ave, Covina, CA 91723",For Sale,"$650,000",5bed,2bath,"2,136sqft"
"4822 N Eastbury Ave, Covina, CA 91722",Pending,"$529,998",3bed,1bath,"1,048sqft"
"1824 E Covina Blvd, Covina, CA 91724",Contingent,"$515,000",3bed,2.5bath,"1,377sqft"
"4900-N Grand Ave Unit 320, Covina, CA 91724",Pending,"$385,000",2bed,2bath,981sqft
"786 W Griswold Rd, Covina, CA 91722",Pending,"$599,000",2bed,2bath,"1,706sqft"
"1532 E Edgecomb St, Covina, CA 91724",For Sale,"$953,500",3bed,2.5bath,"2,682sqft"
"869 W Edna Pl, Covina, CA 91722",Pending,"$749,000",3bed,2bath,"1,745sqft"
"688 N Rimsdale Ave Apt 13, Covina, CA 91722",Pending,"$739,990",4bed,3.5bath,"2,476sqft"
"944 N Calmgrove Ave, Covina, CA 91724",Pending,"$749,000",3bed,1bath,"1,968sqft"
"126 S 1st Ave, Covina, CA 91723",Contingent,"$655,000",3bed,2bath,"1,198sqft"
"16324 E Benwood St, Covina, CA 91722",Pending,"$599,000",4bed,1.5bath,"1,205sqft"
"20549 E Stephanie Dr, Covina, CA 91724",Contingent,"$698,888",4bed,2bath,"1,494sqft"
"4929 N Castleview Ave, Covina, CA 91724",Pending,"$660,000",3bed,2bath,"1,314sqft"
"16719 E Tudor St, Covina, CA 91722",Contingent,"$588,088",3bed,1bath,"1,080sqft"
"107 S Grandview Ave, Covina, CA 91723",For Sale,"$640,000",3bed,1bath,"1,197sqft"
"237 S Ashton Dr, Covina, CA 91724",Pending,"$925,000",3bed,2.5bath,"2,172sqft"
"172 E Dexter St, Covina, CA 91723",Pending,"$815,000",3bed,2bath,"1,662sqft"
"21028 E Cloverland Dr, Covina, CA 91724",Contingent,"$1,189,000",3bed,3bath,"2,583sqft"
"1460 E Algrove St, Covina, CA 91724",Pending,"$768,000",4bed,2.5bath,"1,939sqft"
"1209 N Eastbury Ave, Covina, CA 91722",Contingent,"$710,000",4bed,2bath,"1,765sqft"
"852 N Fenimore Ave, Covina, CA 91723",For Sale,"$699,000",3bed,2bath,"1,657sqft"
"165 N Forestdale Ave, Covina, CA 91723",Pending,"$700,000",5bed,2bath,"1,480sqft"
"4102 N Morada Ave, Covina, CA 91722",Contingent,"$639,900",3bed,1.5bath,"1,212sqft"
"109 S Monte Vista Ave, Covina, CA 91723",For Sale,"$760,000",4bed,2bath,"1,477sqft"
"163 S Vecino Dr, Covina, CA 91723",Pending,"$639,000",4bed,2bath,"1,477sqft"
"19235 E Thelborn St, Covina, CA 91723",For Sale,"$739,900",4bed,1.5bath,"1,180sqft"
"4303 N Morada Ave, Covina, CA 91722",For Sale,"$689,900",4bed,2bath,"1,300sqft"
"303 W Rowland St, Covina, CA 91723",Pending,"$680,000",4bed,2bath,"1,685sqft"
"657 S Midsite Ave, Covina, CA 91723",For Sale,"$749,500",3bed,2bath,"1,354sqft"
"232 S Starglen Dr, Covina, CA 91724",Contingent,"$795,500",4bed,3bath,"1,939sqft"
"19312 E Casad St, Covina, CA 91723",Pending,"$825,000",3bed,3bath,"2,238sqft"
"19643 E Golden Bough Dr, Covina, CA 91724",Contingent,"$1,600,000",6bed,5bath,"4,309sqft"
"415 W Center St, Covina, CA 91723",For Sale,"$2,100,000",6bed,6bath,"3,643sqft"
"368 E School St, Covina, CA 91723",Pending,"$700,000",3bed,2bath,"1,244sqft"
"311 W Rowland St, Covina, CA 91723",Pending,"$675,000",3bed,2bath,"1,196sqft"
"1529 Dalton Pl, Covina, CA 91724",Pending,"$885,900",5bed,4bath,"2,521sqft"
"15648 E Grovecenter St, Covina, CA 91722",Contingent,"$660,000",3bed,1bath,"1,034sqft"
